,equity
2024-01-01,10000000.0
2024-01-02,10000000.0
2024-01-03,10000000.0
2024-01-04,10000000.0
2024-01-05,10000000.0
2024-01-08,10000000.0
2024-01-09,10000000.0
2024-01-10,10000000.0
2024-01-11,10000000.0
2024-01-12,10000000.0
2024-01-15,10000000.0
2024-01-16,10000000.0
2024-01-17,10000000.0
2024-01-18,10000000.0
2024-01-19,10000000.0
2024-01-22,10000000.0
2024-01-23,10000000.0
2024-01-24,10000000.0
2024-01-25,10000000.0
2024-01-26,10000000.0
2024-01-29,10000000.0
2024-01-30,10000000.0
2024-01-31,10000000.0
2024-02-01,10000000.0
2024-02-02,10000000.0
2024-02-05,10000000.0
2024-02-06,10000000.0
2024-02-07,10000000.0
2024-02-08,10000000.0
2024-02-09,10000000.0
2024-02-12,9999851.762911
2024-02-13,10020304.502911
2024-02-14,10020384.502911
2024-02-15,10044104.502911
2024-02-16,10047864.502911
2024-02-19,10023704.502911
2024-02-20,10029498.4919459
2024-02-21,10001881.0579459
2024-02-22,10029386.0579459
2024-02-23,10041451.0579459
2024-02-26,10039229.0579459
2024-02-27,10098966.99727715
2024-02-28,10126342.1851784
2024-02-29,10130676.1851784
2024-03-01,10113323.1851784
2024-03-04,10103021.1851784
2024-03-05,10151033.1851784
2024-03-06,10167201.1851784
2024-03-07,10166530.1851784
2024-03-08,10176615.1851784
2024-03-11,10126020.1851784
2024-03-12,10124361.1851784
2024-03-13,10165638.1851784
2024-03-14,10173418.1851784
2024-03-15,10167171.1851784
2024-03-18,10214926.1851784
2024-03-19,10196686.1851784
2024-03-20,10174681.1851784
2024-03-21,10173373.1851784
2024-03-22,10175382.1851784
2024-03-25,10176586.1851784
2024-03-26,10218469.1851784
2024-03-27,10204121.1851784
2024-03-28,10201293.1851784
2024-03-29,10191407.1851784
2024-04-01,10239352.1851784
2024-04-02,10266276.1851784
2024-04-03,10273130.1851784
2024-04-04,10291031.1851784
2024-04-05,10314934.1851784
2024-04-08,10334979.1851784
2024-04-09,10319120.1851784
2024-04-10,10336122.1838239
2024-04-11,10316941.153823901
2024-04-12,10276304.153823901
2024-04-15,10284270.153823901
2024-04-16,10311659.153823901
2024-04-17,10300055.153823901
2024-04-18,10284690.153823901
2024-04-19,10257911.25635455
2024-04-22,10278323.25635455
2024-04-23,10270004.24915315
2024-04-24,10298880.473153152
2024-04-25,10287359.473153152
2024-04-26,10260505.60175555
2024-04-29,10265486.60175555
2024-04-30,10285274.60175555
2024-05-01,10287331.60175555
2024-05-02,10276434.60175555
2024-05-03,10279957.40310595
2024-05-06,10274427.739105951
2024-05-07,10263954.739105951
2024-05-08,10242676.03328675
2024-05-09,10271644.03328675
2024-05-10,10284360.03328675
2024-05-13,10294441.03328675
2024-05-14,10298640.03328675
2024-05-15,10309588.03328675
2024-05-16,10308228.03328675
2024-05-17,10314144.03328675
2024-05-20,10314059.03328675
2024-05-21,10317017.03328675
2024-05-22,10291353.80280235
2024-05-23,10309351.90680235
2024-05-24,10290022.90680235
2024-05-27,10281080.90680235
2024-05-28,10254458.90680235
2024-05-29,10301055.90680235
2024-05-30,10311714.90680235
2024-05-31,10319194.90680235
2024-06-03,10341889.90680235
2024-06-04,10316659.1395449
2024-06-05,10341649.1395449
2024-06-06,10332900.056508802
2024-06-07,10327738.4825088
2024-06-10,10342749.4825088
2024-06-11,10312472.4825088
2024-06-12,10348172.4825088
2024-06-13,10305954.844856251
2024-06-14,10330077.844856251
2024-06-17,10302707.844856251
2024-06-18,10295482.844856251
2024-06-19,10309269.844856251
2024-06-20,10298389.844856251
2024-06-21,10303574.844856251
2024-06-24,10285163.844856251
2024-06-25,10292422.844856251
2024-06-26,10285367.844856251
2024-06-27,10283986.484504152
2024-06-28,10283986.484504152
2024-07-01,10283986.484504152
2024-07-02,10283834.750721952
2024-07-03,10292990.202721952
2024-07-04,10287788.202721952
2024-07-05,10310959.202721952
2024-07-08,10315583.202721952
2024-07-09,10322553.202721952
2024-07-10,10306420.202721952
2024-07-11,10294201.946113452
2024-07-12,10291718.622993452
2024-07-15,10281501.622993452
2024-07-16,10274569.671791052
2024-07-17,10271086.867552152
2024-07-18,10260393.867552152
2024-07-19,10255565.867552152
2024-07-22,10247834.291257802
2024-07-23,10247684.058975602
2024-07-24,10265457.510975601
2024-07-25,10293699.510975601
2024-07-26,10270029.510975601
2024-07-29,10278435.510975601
2024-07-30,10295553.510975601
2024-07-31,10304220.00827625
2024-08-01,10332259.67927625
2024-08-02,10340727.67927625
2024-08-05,10349609.67927625
2024-08-06,10314734.67927625
2024-08-07,10288747.67927625
2024-08-08,10323459.67927625
2024-08-09,10294663.67927625
2024-08-12,10291391.67927625
2024-08-13,10266962.67927625
2024-08-14,10258812.998715052
2024-08-15,10259016.998715052
2024-08-16,10254324.998715052
2024-08-19,10269199.998715052
2024-08-20,10276696.998715052
2024-08-21,10298592.998715052
2024-08-22,10315308.149314353
2024-08-23,10356714.811314352
2024-08-26,10388725.811314352
2024-08-27,10411811.811314352
2024-08-28,10429797.811314352
2024-08-29,10386345.811314352
2024-08-30,10425649.811314352
2024-09-02,10416214.811314352
2024-09-03,10415721.811314352
2024-09-04,10402325.811314352
2024-09-05,10381874.811314352
2024-09-06,10378797.811314352
2024-09-09,10378593.811314352
2024-09-10,10386974.811314352
2024-09-11,10398908.811314352
2024-09-12,10409669.811314352
2024-09-13,10393587.811314352
2024-09-16,10401628.811314352
2024-09-17,10435849.811314352
2024-09-18,10451710.811314352
2024-09-19,10418220.811314352
2024-09-20,10388331.075074753
2024-09-23,10403425.663217153
2024-09-24,10390740.279217154
2024-09-25,10342056.229225952
2024-09-26,10355214.229225952
2024-09-27,10363918.229225952
2024-09-30,10392903.229225952
2024-10-01,10392121.229225952
2024-10-02,10365176.229225952
2024-10-03,10342589.010904703
2024-10-04,10315442.821346853
2024-10-07,10340777.821346853
2024-10-08,10311557.821346853
2024-10-09,10307777.821346853
2024-10-10,10295252.821346853
2024-10-11,10287299.490169352
2024-10-14,10287299.490169352
2024-10-15,10287299.490169352
2024-10-16,10287299.490169352
2024-10-17,10287299.490169352
2024-10-18,10287145.344978152
2024-10-21,10291094.736978153
2024-10-22,10263123.404493354
2024-10-23,10262978.235719604
2024-10-24,10261276.410719605
2024-10-25,10235339.131654855
2024-10-28,10235339.131654855
2024-10-29,10235339.131654855
2024-10-30,10235339.131654855
2024-10-31,10235339.131654855
2024-11-01,10235339.131654855
2024-11-04,10235339.131654855
2024-11-05,10235339.131654855
2024-11-06,10235339.131654855
2024-11-07,10235339.131654855
2024-11-08,10235339.131654855
2024-11-11,10235339.131654855
2024-11-12,10235339.131654855
2024-11-13,10235339.131654855
2024-11-14,10235186.761837255
2024-11-15,10222747.977837255
2024-11-18,10232987.977837255
2024-11-19,10267483.977837255
2024-11-20,10263595.977837255
2024-11-21,10277451.977837255
2024-11-22,10293803.977837255
2024-11-25,10276155.977837255
2024-11-26,10283003.977837255
2024-11-27,10279755.977837255
2024-11-28,10283851.977837255
2024-11-29,10270331.977837255
2024-12-02,10283527.423931755
2024-12-03,10251563.490404505
2024-12-04,10233419.490404505
2024-12-05,10261435.490404505
2024-12-06,10275083.490404505
2024-12-09,10270854.731544254
2024-12-10,10287381.996544255
2024-12-11,10276282.996544255
2024-12-12,10289226.996544255
2024-12-13,10263414.996544255
2024-12-16,10269882.996544255
2024-12-17,10293585.996544255
2024-12-18,10280268.075380255
2024-12-19,10277358.075380255
2024-12-20,10263318.075380255
2024-12-23,10251918.075380255
2024-12-24,10255158.075380255
2024-12-25,10245453.075380255
2024-12-26,10243023.075380255
2024-12-27,10235673.075380255
2024-12-30,10240563.075380255
2024-12-31,10260093.075380255
